Team,CMP%,YDS,YDS/G,TD,INT,SACK,RTG
Eagles,62.2,961,174.2,22,13,41,82.5
Titans,66.4,14,177.3,27,11,32,95.1
Commanders,61.9,221,189.5,25,7,43,93.9
Jets,62.8,275,192.6,18,7,43,89
49ers,65.5,278,192.8,25,11,37,92
Texans,58.8,417,201,31,19,49,83.7
Chargers,65,517,206.9,24,15,46,87.1
Giants,69.4,580,210.6,23,5,45,103.1
Dolphins,63.8,581,210.6,22,10,35,88.7
Patriots,64.9,596,211.5,27,7,28,96.9
Seahawks,65.2,603,211.9,26,13,45,90.9
Browns,61.8,611,212.4,26,4,41,98.9
Packers,67.4,658,215.2,23,17,45,88.5
Cardinals,68.6,674,216.1,20,9,41,95.1
Raiders,66,676,216.2,29,10,38,96.5
Bears,64.6,705,217.9,17,11,40,90.9
Cowboys,68.2,708,218.1,28,13,52,99.5
Chiefs,65.9,720,218.8,24,13,39,90.6
Broncos,64.9,752,220.7,22,15,63,86.2
Rams,65.3,793,223.1,29,13,38,95.9
Bengals,64.9,799,223.5,30,15,36,91.9
Falcons,69.9,817,224.5,34,12,31,100.1
Panthers,67.9,820,224.7,35,9,32,105.4
Bills,68.5,843,226.1,28,16,39,93.3
Steelers,65.6,876,228,23,17,40,87.5
Colts,69.4,899,229.4,27,16,36,95.8
Saints,61.9,55,238.5,19,14,39,84.8
Vikings,65.1,114,242,24,24,49,82.4
Buccaneers,66.3,147,243.9,27,7,46,96.6
Lions,61.1,148,244,18,16,37,82
Ravens,63.4,150,244.1,27,12,54,91.1
Jaguars,67.1,375,257.4,29,6,34,103.4
