Player,Team,Pos,G,Att,Yds,TD,AVG,Y/G
Saquon Barkley,PHI,RB,16,345,2005,13,5.8,125.3
Derrick Henry,BAL,RB,17,325,1921,16,5.9,113
Kyren Williams,LAR,RB,16,316,1299,14,4.1,81.2
Bijan Robinson,ATL,RB,17,304,1456,14,4.8,85.6
Jonathan Taylor,IND,RB,14,303,1431,11,4.7,102.2
Josh Jacobs,GB,RB,17,301,1329,15,4.4,78.2
Najee Harris,PIT,RB,17,263,1043,6,4,61.4
Tony Pollard,TEN,RB,16,260,1079,5,4.2,67.4
Aaron Jones,MIN,RB,17,255,1138,5,4.5,66.9
D'Andre Swift,CHI,RB,17,253,959,6,3.8,56.4
Jahmyr Gibbs,DET,RB,17,250,1412,16,5.6,83.1
Chuba Hubbard,CAR,RB,15,250,1195,10,4.8,79.7
Joe Mixon,HOU,RB,14,245,1016,11,4.1,72.6
James Conner,ARI,RB,16,236,1094,8,4.6,68.4
Rico Dowdle,DAL,RB,16,235,1079,2,4.6,67.4
Chase Brown,CIN,RB,16,229,990,7,4.3,61.9
Alvin Kamara,NO,RB,14,228,950,6,4.2,67.9
Breece Hall,NYJ,RB,16,209,876,5,4.2,54.8
James Cook,BUF,RB,16,207,1009,16,4.9,63.1
Bucky Irving,TB,RB,17,207,1122,8,5.4,66
Rhamondre Stevenson,NE,RB,15,207,801,7,3.9,53.4
De'Von Achane,MIA,RB,17,203,907,6,4.5,53.4
Kareem Hunt,KAN,RB,13,200,728,7,3.6,56
J.K. Dobbins,LAC,RB,13,195,905,9,4.6,69.6
Tyrone Tracy Jr.,NYG,RB,17,192,839,5,4.4,49.4
Brian Robinson Jr.,WAS,RB,14,187,799,8,4.3,57.1
David Montgomery,DET,RB,14,185,775,12,4.2,55.4
Tank Bigsby,JAX,RB,16,168,766,7,4.6,47.9
Jordan Mason,SF,RB,12,153,789,3,5.2,65.8
Kenneth Walker III,SEA,RB,11,153,573,7,3.7,52.1
Travis Etienne,JAX,RB,15,150,558,2,3.7,37.2
Rachaad White,TB,RB,16,144,613,3,4.3,38.3
Javonte Williams,DEN,RB,17,139,513,4,3.7,30.2
Tyler Allgeier,ATL,RB,17,137,644,3,4.7,37.9
Zach Charbonnet,SEA,RB,17,135,569,8,4.2,33.5
Alexander Mattison,LV,RB,14,132,420,4,3.2,30
Antonio Gibson,NE,RB,17,120,538,1,4.5,31.6
Jaylen Warren,PIT,RB,15,120,511,1,4.3,34.1
Ray Davis,BUF,RB,17,113,442,3,3.9,26
Jaleel McLaughlin,DEN,RB,16,113,496,1,4.4,31
Devin Singletary,NYG,RB,15,113,437,4,3.9,29.1
Jerome Ford,CLE,RB,14,104,565,3,5.4,40.4
Cam Akers,2TM,RB,17,104,444,2,4.3,26.1
Emanuel Wilson,GB,RB,17,103,502,4,4.9,29.5
Nick Chubb,CLE,RB,8,102,332,3,3.3,41.5
Gus Edwards,LAC,RB,11,101,365,4,3.6,33.2
Braelon Allen,NYJ,RB,17,92,334,2,3.6,19.6
Raheem Mostert,MIA,RB,13,85,278,2,3.3,21.4
Isaac Guerendo,SF,RB,16,84,420,4,5,26.3
Tyjae Spears,TEN,RB,12,84,312,4,3.7,26
Isiah Pacheco,KAN,RB,7,83,310,1,3.7,44.3
Austin Ekeler,WAS,RB,12,77,367,4,4.8,30.6
Audric Estime,DEN,RB,13,76,310,2,4.1,23.8
Kenneth Gainwell,PHI,RB,17,75,290,1,3.9,17.1
Ezekiel Elliott,DAL,RB,15,74,226,3,3.1,15.1
Zack Moss,CIN,RB,8,74,242,2,3.3,30.3
D'Onta Foreman,CLE,RB,11,71,232,0,3.3,21.1
Jaylen Wright,MIA,RB,15,68,249,0,3.7,16.6
Ameer Abdullah,LV,RB,16,66,311,2,4.7,19.4
Zamir White,LV,RB,8,65,183,1,2.8,22.9
Trey Benson,ARI,RB,13,63,291,1,4.6,22.4
Blake Corum,LAR,RB,17,58,207,0,3.6,12.2
Ty Chandler,MIN,RB,17,56,182,0,3.3,10.7
Trey Sermon,IND,RB,17,56,159,2,2.8,9.4
Carson Steele,KAN,RB,17,56,183,0,3.3,10.8
Roschon Johnson,CHI,RB,14,55,150,6,2.7,10.7
Jeremy McNichols,WAS,RB,17,55,261,4,4.7,15.4
Miles Sanders,CAR,RB,11,55,205,2,3.7,18.6
Christian McCaffrey,SF,RB,4,50,202,0,4,50.5
Sean Tucker,TB,RB,17,50,308,2,6.2,18.1
Jamaal Williams,NO,RB,14,48,164,1,3.4,11.7
Justice Hill,BAL,RB,15,47,228,1,4.9,15.2
Kimani Vidal,LAC,RB,10,43,155,0,3.6,15.5
Ty Johnson,BUF,RB,17,41,213,1,5.2,12.5
Dameon Pierce,HOU,RB,11,40,293,2,7.3,26.6
Sincere McCormick,LV,RB,5,39,183,0,4.7,36.6
Kendre Miller,NO,RB,6,39,148,1,3.8,24.7
Patrick Taylor,SF,RB,13,39,183,1,4.7,14.1
Chris Brooks,GB,RB,15,36,183,1,5.1,12.2
Khalil Herbert,CIN,RB,14,36,130,1,3.6,9.3
Michael Carter,ARI,RB,3,35,131,1,3.7,43.7
Chris Rodriguez,WAS,RB,9,35,173,2,4.9,19.2
Hassan Haskins,LAC,RB,17,34,89,2,2.6,5.2
Tyler Goodson,IND,RB,16,32,153,1,4.8,9.6
D'Ernest Johnson,JAX,RB,14,32,143,0,4.5,10.2
Cordarrelle Patterson,PIT,RB,13,32,135,0,4.2,10.4
Kenny McIntosh,SEA,RB,17,31,172,0,5.5,10.1
Craig Reynolds,DET,RB,17,31,139,0,4.5,8.2
Isaiah Davis,NYJ,RB,17,30,174,1,5.8,10.2
Dare Ogunbowale,HOU,RB,17,30,112,0,3.7,6.6
Will Shipley,PHI,RB,16,30,82,0,2.7,5.1
Pierre Strong,CLE,RB,14,26,108,0,4.2,7.7
Emari Demercado,ARI,RB,13,24,223,1,9.3,17.2
Julius Chestnut,TEN,RB,17,22,102,0,4.6,6
Ronnie Rivers,LAR,RB,17,22,99,0,4.5,5.8
Jamycal Hasty,NE,RB,15,20,69,0,3.5,4.6
Jordan Mims,NO,RB,11,20,70,0,3.5,6.4
Samaje Perine,KAN,RB,17,20,92,1,4.6,5.4
Deuce Vaughn,DAL,RB,7,17,70,0,4.1,10
Jeff Wilson,MIA,RB,9,16,57,0,3.6,6.3
Raheem Blackshear,CAR,RB,16,15,80,0,5.3,5
