Player,Att,Yds,TD,Y/A,Y/G
Justin Herbert,46,305,1,6.6,33.9
Justin Fields,53,288,3,5.4,41.1
Patrick Mahomes,47,285,4,6.1,31.7
Josh Allen,55,280,7,5.1,35
Drake Maye,59,270,2,4.6,30
Jayden Daniels,54,262,2,4.9,43.7
Jaxson Dart,51,251,5,4.9,31.4
Jalen Hurts,58,207,5,3.6,25.9
Bo Nix,47,205,3,4.4,20.5
C.J. Stroud,29,189,0,6.5,23.6
Caleb Williams,40,183,2,4.6,22.9
Lamar Jackson,26,180,1,6.9,36
Kyler Murray,29,173,1,6,34.6
Spencer Rattler,31,167,0,5.4,20.9
Baker Mayfield,22,158,0,7.2,19.8
Trevor Lawrence,39,137,4,3.5,17.1
Marcus Mariota,18,122,1,6.8,24.4
Dak Prescott,29,121,1,4.2,13.4
Jordan Love,26,110,0,4.2,13.8
Russell Wilson,16,94,0,5.9,18.8
Tyler Huntley,11,92,0,8.4,46
Daniel Jones,33,90,5,2.7,10
Geno Smith,30,88,0,2.9,9.8
Tyrod Taylor,14,80,0,5.7,26.7
Bryce Young,20,78,1,3.9,9.8
Michael Penix Jr.,19,62,1,3.3,8.9
J.J. McCarthy,16,62,2,3.9,20.7
Mac Jones,27,61,0,2.3,8.7
Carson Wentz,11,57,0,5.2,11.4
Jacoby Brissett,15,51,1,3.4,10.2
Cam Ward,18,46,0,2.6,5.1
Sam Darnold,10,41,0,4.1,5.1
Tua Tagovailoa,12,39,0,3.3,4.3
Jake Browning,9,39,1,4.3,9.8
Dillon Gabriel,7,30,0,4.3,5
Brock Purdy,7,30,0,4.3,15
Joe Flacco,14,29,1,2.1,3.6
Jared Goff,11,23,0,2.1,2.9
Aaron Rodgers,13,18,0,1.4,2.3
Tyler Shough,4,14,0,3.5,4.7
Quinn Ewers,1,0,0,0,0
